Date,HomeTeam,FTHG,HTHG,HS,HST,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2005-11-19,Strasbourg,0,0,17.0,7.0,1,0,Nice,0,0,9.0,3.0,1,0,D,D,6.0,17.0,20.0,14.0,1
2005-11-20,Bordeaux,0,0,9.0,3.0,1,0,Paris SG,2,1,8.0,4.0,2,0,A,A,27.0,24.0,2.0,6.0,0
2005-11-20,Rennes,4,1,10.0,9.0,0,0,Toulouse,1,0,9.0,2.0,1,0,H,H,20.0,15.0,12.0,16.0,2
2005-11-25,Le Mans,0,0,16.0,7.0,0,0,Auxerre,2,1,10.0,4.0,1,0,A,A,22.0,26.0,10.0,4.0,0
2005-11-26,Troyes,0,0,13.0,6.0,1,0,Metz,0,0,7.0,4.0,1,0,D,D,14.0,8.0,17.0,19.0,1
2005-11-26,Toulouse,3,1,8.0,4.0,1,0,Ajaccio,0,0,12.0,6.0,4,0,H,H,15.0,12.0,17.0,18.0,2
2005-11-26,St Etienne,1,1,12.0,3.0,1,0,Bordeaux,1,0,14.0,4.0,1,1,D,H,24.0,27.0,5.0,4.0,1
2005-11-26,Lille,1,0,11.0,9.0,0,1,Nancy,0,0,6.0,4.0,3,0,H,D,23.0,20.0,7.0,12.0,2
2005-11-26,Nice,1,1,3.0,2.0,2,0,Lyon,1,0,9.0,7.0,1,0,D,H,18.0,39.0,14.0,1.0,1
2005-11-26,Sochaux,1,0,8.0,2.0,0,0,Rennes,0,0,7.0,1.0,0,0,H,D,16.0,23.0,16.0,8.0,2
2005-11-27,Marseille,2,0,18.0,7.0,1,0,Monaco,1,1,10.0,4.0,2,1,H,A,21.0,24.0,11.0,7.0,2
2005-11-27,Nantes,4,0,10.0,6.0,1,0,Strasbourg,3,2,11.0,5.0,3,1,H,A,18.0,7.0,15.0,20.0,2
2005-11-27,Paris SG,3,1,16.0,11.0,1,0,Lens,4,3,10.0,5.0,2,0,A,A,27.0,22.0,4.0,10.0,0
2005-12-03,Monaco,2,2,10.0,4.0,1,0,Le Mans,0,0,6.0,1.0,1,0,H,H,24.0,22.0,8.0,11.0,2
2005-12-03,Strasbourg,0,0,15.0,9.0,1,0,Sochaux,0,0,4.0,1.0,3,0,D,D,7.0,19.0,20.0,15.0,1
2005-12-03,Metz,2,1,8.0,4.0,0,0,Toulouse,2,1,9.0,4.0,1,0,D,D,9.0,18.0,19.0,16.0,1
2005-12-03,Lyon,2,1,14.0,5.0,2,0,Paris SG,0,0,4.0,3.0,2,0,H,H,40.0,27.0,1.0,4.0,2
2005-12-03,Bordeaux,1,0,10.0,4.0,2,0,Lille,0,0,4.0,1.0,6,0,H,D,28.0,26.0,3.0,6.0,2
2005-12-03,Auxerre,4,3,11.0,7.0,1,0,Nantes,0,0,7.0,3.0,2,0,H,H,29.0,21.0,3.0,12.0,2
2005-12-03,Ajaccio,0,0,13.0,2.0,0,0,Troyes,1,0,13.0,6.0,1,0,A,D,12.0,15.0,18.0,17.0,0
2005-12-04,Lens,2,1,16.0,7.0,0,0,St Etienne,1,1,16.0,4.0,0,0,H,D,25.0,25.0,7.0,8.0,2
2005-12-04,Nancy,1,0,6.0,2.0,1,0,Marseille,1,0,10.0,3.0,3,0,D,D,20.0,24.0,13.0,9.0,1
2005-12-04,Rennes,1,0,10.0,4.0,3,0,Nice,0,0,8.0,3.0,6,1,H,D,23.0,19.0,10.0,15.0,2
2005-12-10,Toulouse,2,1,7.0,2.0,3,0,Troyes,1,1,11.0,4.0,3,0,H,D,19.0,18.0,16.0,17.0,2
2005-12-10,Sochaux,1,1,16.0,6.0,0,0,Metz,1,1,8.0,3.0,2,0,D,D,20.0,10.0,15.0,19.0,1
2005-12-10,Nice,1,0,8.0,2.0,3,0,Ajaccio,0,0,6.0,3.0,4,0,H,D,19.0,12.0,16.0,18.0,2
2005-12-10,Paris SG,2,1,15.0,8.0,2,0,Rennes,0,0,7.0,4.0,1,0,H,H,27.0,26.0,6.0,8.0,2
2005-12-10,Marseille,1,1,11.0,3.0,1,0,Auxerre,0,0,3.0,3.0,1,0,H,H,25.0,32.0,10.0,2.0,2
2005-12-10,Lille,0,0,12.0,1.0,1,0,Lens,0,0,12.0,4.0,2,0,D,D,26.0,28.0,8.0,5.0,1
2005-12-10,Le Mans,1,1,16.0,7.0,2,0,Bordeaux,0,0,13.0,6.0,2,1,H,H,22.0,31.0,11.0,3.0,2
2005-12-10,Nancy,1,0,17.0,7.0,3,0,Strasbourg,2,1,5.0,3.0,1,1,A,A,21.0,8.0,14.0,20.0,0
2005-12-11,Nantes,0,0,6.0,1.0,1,0,Monaco,0,0,6.0,4.0,2,0,D,D,21.0,27.0,15.0,8.0,1
2005-12-11,St Etienne,0,0,9.0,3.0,0,0,Lyon,0,0,10.0,5.0,1,0,D,D,25.0,43.0,10.0,1.0,1
2005-12-16,Lyon,1,0,13.0,8.0,2,0,Lille,3,1,11.0,8.0,3,0,A,A,44.0,27.0,1.0,8.0,0
